Time, Value
15:59:02, 73
15:59:02, 91
15:59:02, 87
15:59:02, 57
15:59:02, 26
15:59:02, -1
15:59:02, -23
15:59:02, -50
15:59:02, -54
15:59:02, -94
15:59:02, -164
15:59:02, -181
15:59:02, -145
15:59:02, -118
15:59:02, -107
15:59:02, -101
15:59:02, -78
15:59:02, -39
15:59:02, -14
15:59:02, -7
15:59:02, 11
15:59:02, 36
15:59:02, 43
15:59:02, 49
15:59:02, 35
15:59:02, 12
15:59:02, 8
15:59:02, 6
15:59:02, 11
15:59:02, 39
15:59:02, 58
15:59:02, 53
15:59:02, 54
15:59:02, 59
15:59:02, 65
15:59:02, 50
15:59:02, 25
15:59:02, 25
15:59:02, 42
15:59:02, 55
15:59:02, 55
15:59:02, 52
15:59:02, 72
15:59:02, 77
15:59:02, 72
15:59:02, 84
15:59:02, 90
15:59:02, 74
15:59:02, 74
15:59:02, 114
15:59:02, 157
15:59:02, 146
15:59:02, 98
15:59:02, 61
15:59:02, 41
15:59:02, 56
15:59:02, 77
15:59:02, 84
15:59:02, 73
15:59:02, 50
15:59:02, 28
15:59:02, 41
15:59:02, 69
15:59:02, 74
15:59:02, 81
15:59:02, 105
15:59:02, 113
15:59:02, 87
15:59:02, 49
15:59:02, 36
15:59:02, 44
15:59:02, 38
15:59:02, 38
15:59:02, 50
15:59:02, 83
15:59:02, 114
15:59:02, 92
15:59:02, 43
15:59:02, -2
15:59:02, -27
15:59:02, -29
15:59:02, 19
15:59:02, 55
15:59:02, 50
15:59:02, 33
15:59:02, 39
15:59:02, 82
15:59:02, 129
15:59:02, 147
15:59:02, 147
15:59:02, 130
15:59:02, 104
15:59:02, 99
15:59:02, 80
15:59:02, 25
15:59:02, -2
15:59:02, 1
15:59:02, 16
15:59:02, 57
15:59:02, 137
15:59:02, 196
15:59:02, 181
15:59:02, 121
15:59:02, 80
15:59:02, 88
15:59:02, 135
15:59:02, 197
15:59:02, 225
15:59:02, 199
15:59:02, 154
15:59:02, 114
15:59:02, 100
15:59:02, 133
15:59:02, 163
15:59:02, 155
15:59:02, 130
15:59:02, 102
15:59:03, 101
15:59:03, 106
15:59:03, 115
15:59:03, 107
15:59:03, 76
15:59:03, 53
15:59:03, 59
15:59:03, 49
15:59:03, 36
15:59:03, 37
15:59:03, 55
15:59:03, 67
15:59:03, 49
15:59:03, 19
15:59:03, -2
15:59:03, -23
15:59:03, -53
15:59:03, -33
15:59:03, 17
15:59:03, 16
15:59:03, -8
15:59:03, -40
15:59:03, -36
15:59:03, 6
15:59:03, 42
15:59:03, 39
15:59:03, 21
15:59:03, 4
15:59:03, -24
15:59:03, -38
15:59:03, -29
15:59:03, -53
15:59:03, -81
15:59:03, -91
15:59:03, -85
15:59:03, -66
15:59:03, -54
15:59:03, -65
15:59:03, -74
15:59:03, -65
15:59:03, -44
15:59:03, -33
